,id,overview,genres,Action,Comedy,Drama,Thriller,Romance
4902,139808, comedy center  man  identity crisis,Comedy|Romance,0,1,0,0,1
800,151368,nick  excited  discover  he s  dinner date  favorite actress jill goddard  jill refuse  honor  contest  receive  offer  can not refuse  ability  view jill secretly via computer nick begins watch  unknowing star  webcam  realize  decision  put  jill  risk  enter  terrify world  cat  mouse  nothing  seem,Thriller|Action|Crime,1,0,0,1,0
8926,24740,barbara hershey star  carla moran  hard work single mother  night  rape  bedroom  someone  something  can not see despite skeptical psychiatrist  repeatedly attack  car  bath  front  child could  case  hysteria  manifestation  childhood sexual trauma  something even  horrific,Horror|Mystery|Thriller,0,0,0,1,0
7626,12473, college professor travel  new york city  attend  conference  find  young couple live  apartment,Crime|Drama|Music,0,0,1,0,0
8450,12472, expose  bizarre mixture  household chemical pat kramer begins  shrink  baffle scientist make parent difficult warm  heart  americans  capture  attention  group  people  want  take  world  evil group plot  kidnap pat  perform experiment  eventually shrink everyone,Comedy|Family|Science Fiction,0,1,0,0,0
69,271718, think  monogamy  never possible  commitment phobic career woman  face  fear  meet  good guy,Comedy,0,1,0,0,0
5066,25988, young englishman  dispatch  sarawak  become part  british colonial government  encounter  unorthodox local tradition  find  face  tough decision  heart involve  beautiful selima  unwitte object  affection,Drama|Romance,0,0,1,0,1
6669,9788, high school slacker  reject  every school  apply  opt  create  institution  high learning  south harmon institute  technology  rundown piece  property near  hometown,Comedy,0,1,0,0,0
1680,66113,tale  year old australian girl  go miss,Drama|Thriller,0,0,1,1,0
377,357681,hit  apex  inside story  fighter  fast motorcycle racer  time  fate  await  peak  sport  story  stake  lose  go chase glory  hundred mile  hour  motorcycle,Documentary,0,0,0,0,0
1469,49391, haunt ghost story span  world  century apart  year old tolly find  mysteriously travel  begin  adventure  unlock family secret lay bury  generation,Adventure|Fantasy|Drama,0,0,1,0,0
2603,17078, story revolve around  blind boy name mohamme  release  special school  tehran  summer vacation  father shame  burden  mohammed blindness arrive late  pick  try  convince  headmaster  keep mohamme  summer  headmaster refuse  mohammed father eventually take  home,Family|Drama,0,0,1,0,0
5023,10159, travis  mouthy son  criminal disappear  amazon  search  treasure artifact  father send  beck  become traviss rival  affection  mariana  mysterious brazilian woman  steely disposition beck  man  word  take  discipline  muster  work  travis  nab  tyrant  treasure,Adventure|Action|Comedy|Thriller,1,1,0,1,0
3091,13279, young interracial couple  move  california dream home  become  target  next door neighbor  disapprove  relationship  tightly wind lapd officer  appoint  watchdog  neighborhood  nightly foot patrol  overly watchful eye bring comfort  become increasingly aggressive  newlywed  persistent intrusion  live  couple  fight back,Drama|Crime|Thriller,0,0,1,1,0
2726,10956,joe dirt  janitor  mullet hairdo acid wash jean  dream  find  parent  lose  grand canyon  belligerent trailer park raise  year old  blast van halen  jack  economy car  irrepressibly optimistic joe hit  road alone  search  folk,Mystery|Adventure|Comedy|Romance|Drama,0,1,1,0,1
477,342464, teenage con artist trick  desperate mother  hire  live  companion  autistic daughter,Drama|Family,0,0,1,0,0
1329,11,princess leia  capture  hold hostage  evil imperial force  effort  take  galactic empire venturesome luke skywalker  dash captain han solo team together  loveable robot duo r  c po  rescue  beautiful princess  restore peace  justice  empire,Adventure|Action|Science Fiction,1,0,0,0,0
2283,41556, close friend reunite  wedding  friend problem arise  bride  maid  honor  long rivalry  groom,Comedy|Drama|Romance,0,1,1,0,1
7915,1884, towani family civilian shuttlecraft crash  forest moon  endor  towani  separate jermitt  catarine  mother  father  capture  giant gorax  mace  cindel  son  daughter  miss  capture  next day  ewok deej  look  son  find cindel  alone  shuttle mace  cindel  look  transmitter  send  distress call  mace appear  emergency blaster eventually  year old cindel  able  convince  teenage mace  ewok  nice  ewok  towani go  adventure  find  elder towani,Adventure|Science Fiction,0,0,0,0,0
10485,2605, lightning bolt zap  robot name number  lovable machine start  think he s human  escape  lab hot  trail  designer newton  hope  get  number  military  meantime  spunky animal lover mistake  robot  alien  take  teach  new guest  life  earth,Comedy|Family|Science Fiction,0,1,0,0,0
751,284293,alice howland happily marry  grow child  renowned linguistic professor  start  forget word  receive  devastating diagnosis alice  family find  bond test,Drama,0,0,1,0,0
6594,2044, lonely doctor  occupy  unusual lakeside home begins exchange love letter  former resident  frustrated architect  must try  unravel  mystery behind  extraordinary romance  late,Romance|Drama|Mystery,0,0,1,0,1
8834,12806, spanish come  age story focus  antic  year old  posh beach house almost  summer  summer  sexual awakening,Drama|Comedy|Romance,0,1,1,0,1
8134,10858, star cast power  epic look  american president richard  nixon  man carry  fate  world  shoulder  battle  self destructive demand  victorious presidential election  shocking watergate scandal  would seal  doom,History|Drama,0,0,1,0,0
9405,1358, documentary film base  life  scientist steven hawk  film explore  intimate life  steven hawk  friend  family  go  school  diagnose  degenerative disease  discover revolutionary theory  time black hole  origin  universe  visually interesting  time funny film  extraordinary life,Documentary,0,0,0,0,0
1545,8880, cuban revolution che  height  fame  power  disappear  emerge incognito  bolivia  organize  small group  cuban comrade  bolivian recruit  start  great latin american revolution  story  come  understand  che remain  symbol  idealism  heroism  live  heart  people around  world,Drama|History|War,0,0,1,0,0
10478,9318, little ancient british village still hold  roman invaders asterix  obelix  invite  help  must face fog rain warm beer  boil boar  mint sauce  soon  governor encyclopaedius britannicuss romans decline  fall  wild race  barrel  magic potion land  drink,Family|Animation|Adventure|Comedy,0,1,0,0,0
9314,30666, stepfather escape  insane asylum  wind  another town  time impersonate  marriage counselor  seems  find  perfect future wife  stepson  love  people try  get  way  marry  interfere  stepfath eliminate anyone  stand  way  perfect family,Horror|Thriller,0,0,0,1,0
2683,11467, midst  nasty public breakup  married movie star  studio publicist scramble  put  cap  escalate situation  couple late film  find  print kidnap  director,Comedy|Romance,0,1,0,0,1
8366,23637, bureaucratic snafu send marco tullio sperelli  portly middle aged northern italian  teach third grade  poor town outside naple,Comedy|Foreign,0,1,0,0,0
7354,16619,beth calvin  son conrad  live  aftermath  death  son conrad  overcome  grief  misplaced guilt  extent  suicide attempt  therapy beth  always prefer  brother  difficulty  supportive  conrad calvin  trap  try  hold  family together,Drama,0,0,1,0,0
6412,67,paradise  film  perspective  palestinian man  prepare  perform  suicide attack  israel  first film  deal  subject  suicide bomber,Thriller|Crime|Drama,0,0,1,1,0
3518,72113, brooklyn bridge park eleven year old zachary cowan strike  eleven year old classmate ethan longstreet  face  stick  argument  learn  altercation  longstreet parent decide  invite  cowan parent  brooklyn apartment  deal  incident  civilized manner,Comedy|Drama,0,1,1,0,0
5886,173153, drama center  relationship  phil spector  defense attorney linda kenney baden  music business legend  trial  murder  lana clarkson,TV Movie|Drama,0,0,1,0,0
2354,57011, band  ninja warrior lead  iga ninja name yamata witness  giant ball  fire drop  sky  crash  forest  warrior find  attempt  identify  object  discover alien  attack  feast  yamata  survivor swear vengeance  challenge  alien  learn  weapon  effect,Horror|Action|Thriller|Science Fiction,1,0,0,1,0
773,164251,north carolina mountain  end  george  serena pemberton love strike newly wed begin  build  timber empire serena soon prove  equal  man  oversee logger hunt rattle snake even save  man  life  wilderness  power  influence  hand  pemberton refuse  let anyone stand  way  inflate love  ambition  serena discover george  hide past  face  unchangeable fate  pemberton  passionate marriage begin  unravel lead toward  dramatic reckoning,Drama,0,0,1,0,0
5129,11427,christmas eve  way  law  family frank harrington decide  try  shortcut  first time  year  turn  big mistake  life,Mystery|Horror|Thriller,0,0,0,1,0
10223,329, wealthy entrepreneur secretly create  theme park feature living dinosaur draw  prehistoric dna  opening day  invite  team  expert  eager grandchild  experience  park  help calm anxious investor  park  anything  amusing  security system go  line  dinosaur escape,Adventure|Science Fiction,0,0,0,0,0
8625,25750,grace rhode  study  doctor return  hometown  strange illness  afflict  local child  symptom include  high fever  spasm  even weird  happen  next day  illness claim  somebody else  begin murder  grow up  sister undergo  sinister metamorphosis grace comes  believe  connection  evil cult figure  return  grave,Horror,0,0,0,0,0
641,181533, magic power  tablet  ahkmenrah begin  die  larry daley ben stiller span  globe unite favorite  new character  embark  epic quest  save  magic  go forever,Adventure|Comedy|Fantasy|Family,0,1,0,0,0
5033,10934, rough divoce france  year old book editor  san francisco take  tour  tuscany  urging  friend  whim  buy bramasole  run  villa  tuscan countryside  begin  piece  life together start  villa  find  life sometimes  unexpected way  give  everything  want,Comedy|Romance|Drama,0,1,1,0,1
4700,80384, comedic spoof base  worldwide phenomenon  twilight saga,Horror|Comedy,0,1,0,0,0
6369,17113,jack slavin  environmentalist  heart condition  live  daughter rise  isolate island  jack fight  developer  wish  build  area  crave  contact  people  invite  girlfriend kathleen  son rodney  thaddius  move  rise  upset  complicated family dynamic make thing difficult  everyone  house,Drama,0,0,1,0,0
6011,192133, drama base  jimi hendrixs pre fame year,Drama|Music,0,0,1,0,0
865,290542, drama center  classical pianist  diagnose  als  brash college student  become  caregiver,Drama,0,0,1,0,0
5964,214100,davy  ally  learn  live life  edinburgh  come home  serve  afghanistan  struggle  learn  live  life outside  army  deal  everyday struggle  family job  relationship sunshine  leith  base  sensational stage hit  name feature music  pop folk band  proclaimer,Music|Romance|Comedy|Drama,0,1,1,0,1
7482,5857, idyllic small town  rock  aubrey fleming lindsay lohan  bright  promise young woman  abduct  torture  sadistic serial killer  manage  escape  traumatize girl  regain consciousness  hospital insist  think  real aubrey fleming  still  mortal danger,Crime|Horror|Mystery|Thriller,0,0,0,1,0
10744,11574, quick witte drifter wander  lawless town  midst  gold rush shock  price  food  meal  reluctantly take  job  sheriff  amazing  mayor  lightning quick dead eye pistol accuracy  make  town council know  really  pass  way  australia  pull  leave anytime  choose include  first sign  real trouble  first day  job  take  big mean ranching family  meet  klutzy love interest,Comedy|Western,0,1,0,0,0
8176,31174,shakespeare play transplant  set,Drama|War,0,0,1,0,0
5702,199420, miss wedding ring lead  wild goose chase involve meth addict skinhead  elvis impersonator,Action|Comedy,1,1,0,0,0
8075,63, year  convict james cole reluctantly volunteer  send back  time  discover  origin  deadly virus  wipe  nearly  earth population  force  survivor  underground community  cole  mistakenly send  instead  he s arrest  locked  mental hospital  meet psychiatrist dr kathryn railly  patient jeffrey goine  son  famous virus expert  hold  key  mysterious rogue group  army  monkey think  responsible  unleash  killer disease,Science Fiction|Thriller|Mystery,0,0,0,1,0
962,256740,hannah  amber baker  trap  dark southern underworld  violence drug  biker  live  fear  uncle frank stinson  ruthless leader  crime organization,Action|Drama|Thriller,1,0,1,1,0
9394,16270,josie  daughter  town wealthy businessman face problem  home  wish  leave town  disorient  decision  finalize  fall asleep  target dressing room  awaken  find  lock  store overnight  janitor jim  town  hoper  liar,Drama|Comedy|Romance,0,1,1,0,1
9001,1878, hallucinogenic misadventure  sportswriter raoul duke  samoan lawyer dr gonzo  day romp  los angeles  las vegas motoring  mojave desert  way  sin city duke  purple haze passenger ingest  cornucopia  drug range  acid  ether,Adventure|Drama|Comedy,0,1,1,0,0
4403,114478, distant federation outpost fort casey come  attack  bug  team  fast attack ship alesia  assign  help  starship john  warden station  fort casey evacuate along  survivor  bring military intelligence safely back  earth carl jenkins  ministry  paranormal warfare take  starship  clandestine mission  rendezvous  alesia  go miss  nebula  battle harden trooper  charge  rescue mission  lead  much  sinister consequence  ever could  imagine,Animation|Action|Science Fiction,1,0,0,0,0
3309,34482, young girl try  fit  clique  popular middle school girl  move  guest house  home,Comedy|Drama|Family,0,1,1,0,0
2166,129269, universe  stephen hawk  science documentary mini series write  british physicist stephen hawk  series  create  discovery channel  feature computer generate imagery  universe  united kingdom  series  modify title stephen hawking universe,Documentary,0,0,0,0,0
363,308032, film  base  actual event  take place  stanford professor dr philip zimbardo create  become  shocking  famous social experiment  time,Thriller|Drama,0,0,1,1,0
3723,86593, parole  year inside bill hayward return home  find  year old son abandon  mother  fend  unwilling  play dad  uncare bill  determine  move on,Drama,0,0,1,0,0
2825,37632, rudy  artifact smuggler go  jerusalem  rescue  kidnap archeologist father  face deportation  scheme police chief  find  dad  recover  sacred scroll hell  outwit official  ruthless sect  help  beautiful israeli cop rudy battle  faction  religious zealot determine  see  holy war  cost,Adventure|Drama|Action|Comedy|Thriller,1,1,1,1,0
3597,86812, journalist  girlfriend get pull  investigate  cult whose leader claim  future,Science Fiction|Drama|Mystery,0,0,1,0,0
546,309063, fun fill weekend turn deadly  group  unsuspecting theatre goer  trap inside  ravenous spirit  resurrect  release  ouija board  must confront  terrify fear  destroy  spirit  find  kill  first,Horror,0,0,0,0,0
2940,11887, almost graduation day  high school senior troy gabriella sharpay chad ryan  taylor  think  head  separate direction  leave east high  wildcat think  need  something  remember forever together  rest  wildcat  stage  spring musical reflect  hope  fear  future  unforgettable experience grow  together  graduation approach  college plan  question  become  dream romance  friendship  east high senior wildcat,Comedy|Drama|Family|Music|Romance,0,1,1,0,1
471,362154, suspenseful crime thriller mr wu  hong kong movie star  kidnap  unpredictable criminal disguise  police officer  story  base  real life celebrity kidnapping case  china,Thriller|Crime,0,0,0,1,0
1641,17577,captain mack lead  elite military unit  search  miss scientist  come face  face  ancient evil lie beneath  middle eastern desert evil  world evil  never  unearth,Action|Horror|Thriller|Science Fiction,1,0,0,1,0
3338,13808, successful woman sick  tired  date  relationship decide  keep  young man  pool house  strictly sexual purpose,Drama|Comedy|Romance,0,1,1,0,1
9160,20546, english village shortly  dunkirk mr tom oakley still brood  death  wife  small son  away  navy  wwi  grief  make  surly hermit  child evacuate  london  overwhelming volunteer  house  practically  protest mr tom take  painfully quiet  year old  gradually reveal big problem william,Drama|Foreign|History,0,0,1,0,0
1172,256284, former special op commando visit pompeii  wife  daughter  trap  mt vesuvius erupt  massive force  family fight  survive  deadly onslaught  heat  lava  enlist  former teammate  dare operation beneath  ruin  city  pompeii,Adventure|Action,1,0,0,0,0
4299,11310, mitch robbin  th birthday begin quite well  return home  find  brother glen  black sheep  family  sofa nevertheless  wonderful birthday night  wife  discover  treasure map  curly  chance together  phil  unfortunately  glen  try  find  hide gold  curlys father  desert  arizona,Action|Comedy|Drama|Western,1,1,1,0,0
6792,37924, bbc adaptation  victorian penny dreadful tale  th century demon barber sweeney todd  fleet street  cuts  throat  unsuspecting client  london shop,Drama|Horror|Thriller|Music,0,0,1,1,0
9995,2670, series  murder prompt mike hanlon  suspect  supernatural menace  group  friend battle  child  return  begin  call  friend  remind  oath  swore  return  would come back  derry  battle again,Drama|Horror|Mystery|Thriller,0,0,1,1,0
8871,10394, old gangster  advise  freddie may would leave jail  thirty year  prison  mood change  recall  young punk  join freddie mays gang  man  envy  ultimately betray,Action|Drama|Thriller,1,0,1,1,0
7682,16204, mother enduringly traumatize  disappearance  year old daughter  year ago  cut  ex husband  son  trouble young woman  checker past enter  life old psychic wound painfully resurface  illogical  increasingly irrational hope  young woman  daughter  lose  long ago,Drama,0,0,1,0,0
7259,25248, canadian make comedy drama set  hamilton ontario  sweet  time  goofy story  become increasingly poignant  minute tick  fictional tale  wayward  th grader ralph adam butcher  secretly live  widow hospitalize mother remain immerse  coma frequently  trouble  father fitzpatrick gordon pinsent  principal  boy catholic school ralph  consider something  joke  peer  decide  pull  miracle  could save  mother  e win  boston marathon coach  young priest  former runner father hibbert campbell scott whose cynicism  lift  boy pure hope ralph apply  unlikely mission fend  naysayer  get help along  challenge path  sundry ally  friend,Comedy|Drama,0,1,1,0,0
1410,20943, romantically challenge morning show producer  reluctantly embroil  series  outrageous test  chauvinistic correspondent  prove  theory  relationship  help  find love  clever ploy  lead  unexpected result,Comedy|Romance,0,1,0,0,1
6169,14040, dr marcus sommer realize  trouble estranged brother david  prone  fatal brain disease  run  family  decide  make peace  sible  invite  trip  rockie  brother bond  share enthusiasm  cycling  decide  enter  gruele bike race  mountain  marcus health soon begin  fail  david must compete without  brother  side,Drama,0,0,1,0,0
4412,59967, futuristic action thriller looper time travel  invent  illegal  available  black market  mob wants  get rid  someone  send  target  year  past  looper  hire gun like joe  wait  mop  joe  get rich  life  good  day  mob decide  close  loop send back joe future self  assassination,Action|Thriller|Science Fiction,1,0,0,1,0
8034,14854, archetypical renegade texas ranger wages war  drug kingpin  automatic weapon  wit  martial art  gun battle leave  partner dead  inevitably culminate  martial art showdown  drug lord  ranger  involve  woman  love,Action|Thriller|Drama|Western|Crime,1,0,1,1,0
7807,18556, set  claustrophobic corridor  abandon  lock  office building  several guest invite  party  mysterious unknown host  victim  crime suspense  mistrust  stalker  cat  mouse game  wit  fear  stalker  kill  exactly  everyone  common,Horror|Thriller|Foreign,0,0,0,1,0
815,235260, life story  jesus  tell  humble birth  teaching crucifixion  ultimate resurrection,Drama,0,0,1,0,0
2131,40205, story  abby jensen  girl  eager  reach  th birthday  keep  secret wish list since  little girl  big day actually arrive utter disaster strike leave abby  think  birthday  ruin  mysterious box  magical birthday candle arrive  turn thing around abbys  wish start  come true  day get well  well  make  wish  threaten  change everything,Fantasy|Drama|Family,0,0,1,0,0
1797,43937, compelling drama  explore  different meaning  parent  gritty realistic life  struggle blue collar porter  privilege campbell family  live intersect intertwine  collide  love  little boy  film bravely expose  humanity  character remind we  potential  good  bad version  time,Drama|Family,0,0,1,0,0
3122,14556,lisa  julien  marry  lead  happy uneventful life  son oscar  life radically change  morning  police come  arrest lisa  murder charge  sentence  year  prison convince  wife innocence julien decide  act  far  willing  go  her,Drama|Thriller,0,0,1,1,0
9845,38783, bizarre horror story end  story  african doll  blood,Horror|Thriller,0,0,0,1,0
10060,18943,bumble ernest p worrell  assign  jury duty  crook lawyer notice  resemblance  crime boss mr nash  arrange  switch nash assume ernest job  bank employee  ernest undergoe nashs sentence  electric chair  instead  kill  electrocution give ernest superhuman power enable  escape  jail  foil nashs attempt  rob  bank,Comedy|Family,0,1,0,0,0
6597,10947,troy zac efron  popular captain  basketball team  gabriella vanessa anne hudgen  brainy  beautiful member  academic club break  rule  east high society  secretly audition  lead  school musical  reach  star  follow  dream everyone learn  acceptance teamwork  set  fun tune  cool dance move,Comedy|Drama|Family|Music|TV Movie,0,1,1,0,0
9542,10132, rude contemptuous talk show host become overwhelmed  hatred  surround  program  go national,Drama,0,0,1,0,0
9217,11718,harry crumb  bumble  inept private investigator  hire  solve  kidnap  young heiress  he s  expect  solve  employer  mastermind behind  kidnapping,Comedy|Crime|Mystery,0,1,0,0,0
9733,912, young businessman thomas crown  bore  decide  plan  robbery  assign  professional agent  right information  job  crown  soon betray  can not blow  cover  love,Romance|Crime|Thriller|Drama,0,0,1,1,1
237,278236, socially awkward teenage math prodigy find new confidence  new friendship  land  spot  british squad  international mathematic olympiad,Drama,0,0,1,0,0
1532,39414, come  middle age comedy  chronicle  unlikely friendship  fail author richard dunne  long island teen  teach  thing  grow  disapprove eye  long suffer wife  imaginary superhero friend,Comedy|Drama,0,1,1,0,0
10236,1499, turtle travel back  time  day  legendary  deadly samurai  ancient japan  train  perfect  art  become  turtle  assist  small village  uprising,Action|Adventure|Comedy|Family|Fantasy,1,1,0,0,0
4549,119360, introverted teenager tell  parent  go  ski trip  instead spend  time alone  basement,Drama,0,0,1,0,0
3410,74643,hollywood  silent movie star george valentin wonder  arrival  talk picture  cause  fade  oblivion  spark  peppy miller  young dancer set  big break,Drama|Comedy|Romance,0,1,1,0,1
7500,6589, lab accident give  hound name shoeshine  serious superpower  secret  dog eventually share  young boy  become  owner  friend,Action|Adventure|Comedy|Family,1,1,0,0,0
10477,235, film name come  song stand  ben e king  song  theme song  film  model  novella  stephen king call  body  ninth film story  author  film tell  story  group  year old friend  trial  tribulation  confront  along  journey,Crime|Drama,0,0,1,0,0
1535,4959, interpol agent  attorney  determine  bring  world  powerful bank  justice uncover money launder arm trading  conspiracy  destabilize world government  investigation take  berlin milan new york  istanbul find  chase  globe  relentless tenacity put  life  risk,Drama|Thriller|Crime,0,0,1,1,0
3879,66942,griff office worker  day superhero  night  world turn upside  meet melody  beautiful young scientist  share  passion  impossible,Action|Comedy|Drama|Foreign|Romance,1,1,1,0,1
1299,347520, stranger  throw together  mysterious force  must help  survive  violent world  defy explanation,Mystery|Drama|Fantasy,0,0,1,0,0
4328,21352, true story  marine seal name andre befriend  little girl  family circa,Drama|Family|Adventure,0,0,1,0,0
7439,3489,minute focus  college professor pacino  moonlight  forensic psychiatrist  fbi  receive  death threat claim  minute  live,Crime|Mystery|Thriller,0,0,0,1,0
1480,17740,several angeleno meet  christmas eve  chance tragedy  divine intervention swayze  play  sleazy owner  strip club  biel character dance redmayne  portray  mortician  fall  love  kristofferson  play  head  corporate crime organization  try  convince  former employee liotta  seek vengeance  former co worker,Drama,0,0,1,0,0
2793,26602, come  age romantic comedy set  backdrop  cape cod baseball league local boy ryan dunne freddie prinze jr  pitcher  boston college meet tenley parrish jessica biel  daughter  wealthy couple  summer  cape ryan  tenley fall  love much  chagrin  family  ryan cling  last hope  discover  sign  pro baseball contract,Drama|Comedy|Romance,0,1,1,0,1
5778,121677, new york  pakistani native find  american dream  collapse  wake  terrorist attack,Thriller,0,0,0,1,0
10629,3117,dr simon helder sentence  insane asylum  crime  humanity recognise  director  brilliant baron frankenstein  man whose work  try  emulate  imprisonment frankenstein utilise helder medical knowledge  project  work  time  assemble  man  vital organ extract  various inmate  asylum  baron  resort  murder  acquire  perfect specimen  ambitious project ever,Horror|Science Fiction,0,0,0,0,0
8875,20993,arrive  moscow chechen veteran danila sergei bodrov jr meet konstantin  old friend  tell  twin brother  force  sign  crook contract  us ice hockey team soon  meeting danila discover konstantin dead  set  avenge  death  journey  lead  chicago  whole new experience,Drama|Thriller,0,0,1,1,0
4695,84317, young womans arrival spark  surge  energy  lay back artistic los angeles household force  resident  confront  fear  desire  intricate dance  lust denial  deception,Drama,0,0,1,0,0
4475,68812, true story  richard kuklinski  notorious contract killer  family man,Thriller|Crime|Drama,0,0,1,1,0
8963,49483, classic dicken tale  orphan boy  escape  horror  orphanage  take  band  thief  pickpocket,TV Movie|Crime|Drama,0,0,1,0,0
10595,253,james bond must investigate  mysterious murder case  british agent  new orleans soon  find  gangster boss name mr big,Adventure|Action|Thriller,1,0,0,1,0
3661,71688, look  life  margaret thatcher  former prime minister  united kingdom  focus  price  pay  power,History|Drama,0,0,1,0,0
555,341077, young gymnast battle  group  bank robber  home  boyfriend,Thriller|Drama|Action|Crime,1,0,1,1,0
1163,331727, successful  love fighting video game  time street fighter  finally  give  epic  faithful treatment  deserve street fighter  assassin fist take we back  formative year  iconic character ryu  ken  live  traditional warrior life  seclude mountain wilderness  japan training  master goken  boy  last practitioner  ancient fighting style know  ansatsuken assassin fist originally develop  kill art master  style  able  manipulate  chi ki energy  devastate special technique  potentially fatal power  ryu  ken learn  mysterious past  master goken  tragic  dark legacy  ansatsuken style  good friend become bitter rival  training intensifie  reach  climax,Adventure|Action,1,0,0,0,0
5931,197919, small town  haunt  twin daughter  wrongfully convict man young jordan  send  path  real killer  find  killer  close  her,Horror|Thriller,0,0,0,1,0
397,323694,holly love rob  try  help  grief  even  mean contend  dead girlfriend nina  come back bloody  break every time  make love,Horror|Comedy|Romance,0,1,0,0,1
6959,24115, first day  new school year  fifth grade boy square  bully  wind  accept  dare  could change  balance  power  class,Comedy|Drama|Family,0,1,1,0,0
10324,15765, film  singer tina turner  rise  stardom  abusive husband ike turner  gain  courage  break free,Drama|Music,0,0,1,0,0
9571,7091, publishing executive  visit  bite  vampire  start exhibit erratic behavior  push  secretary  extreme  try  come  term  affliction  vampire continue  visit  drink  blood  madness deepen  begin  look  event he s experience  hallucination,Comedy|Fantasy|Horror,0,1,0,0,0
10250,9944, supreme court justice  kill  college professor  clerk  man  affair  student  give  brief  state  probably wanted  see  man dead  give  friend  work  fbi,Action|Mystery|Thriller,1,0,0,1,0
9318,879, boy  suppose  grow  peter pan  become  soulless corporate lawyer whose workaholism could cost  wife  kid  trip  see granny wendy  london  vengeful capt hook kidnaps peters kid  force peter  return  neverland could lead  chance  redemption  family orient fantasy  director steven spielberg,Adventure|Fantasy|Comedy|Family,0,1,0,0,0
6289,15648,holly  tired  move every time  mom jean break  another second rate guy  distract  mother  latest bad choice holly conceive  perfect plan  perfect man  imaginary secret admirer  romance jean  boost  self esteem,Comedy|Drama|Family|Romance,0,1,1,0,1
723,239571, pair  former high school sweetheart reunite  many year  return  visit  small hometown,Drama|Romance,0,0,1,0,1
300,250225, woman  study butterfly  moth test  limit  relationship  lover,Drama,0,0,1,0,0
9140,19381, thing  wild group  friend  girl high school  learn  get  want  word leak  school  merge  boys academy  student strike back  girl wage  assault  outrageous battle  sex,Comedy,0,1,0,0,0
6705,9957, trio  guy try  make  miss opportunity  childhood  form  player baseball team  compete  standard little league squad,Comedy,0,1,0,0,0
4185,15969, evil jafar escape  magic lamp  powerful genie ready  plot  revenge  aladdin  battle elusive villain atop wing horse  dodge flame inside  explode lava pit  aladdin  princess jasmine  outrageously funny genie  side  save  kingdom  all,Adventure|Animation|Romance,0,0,0,0,1
7533,1257, effort  prevent family history  repeat  meddlesome mom daphne wilder attempt  set  young daughter milly  mr right meanwhile  daughter try  keep  mom good intention  control,Comedy,0,1,0,0,0
4818,116440,maggie simpson return  ayn rand school  tot  maggie future prospect  deem  minimal  leave  daycare less enjoyable room  butterfly  company,Animation|Comedy,0,1,0,0,0
10685,31952, heart  styria  karnstein family even  mortal death rise  tomb spread evil  countryside  lust  fresh blood baron hartog whose family  victim  karnstein vampirism open  grave  drive  stake  diabolical heart  grave  can not locate  legendary beautiful mircalla karnstein year  peace follow  grisly night  mircalla reappear  avenge  familys decimation  satisfy  desire  blood,Horror,0,0,0,0,0
3142,13803, interrogate  police psychiatrist  near catatonic tabitha try  explain  childhood friend  hunt  serial killer  truth  die  come  weave together  tragic secret  past  girl boyfriend become unwitting target  deadly game,Horror|Thriller,0,0,0,1,0
4890,126909,cousin ben host  screen  wes anderson moonrise kingdom  troop,,0,0,0,0,0
3205,16409, london  daughter wedding  struggle jingle writer harvey shine miss  plane  new york  thus lose  job  drown  sorrow  airport pub harvey meet kate  british government worker stick  endless cycle  work phone call  mother  blind date  connection form  unhappy pair  soon find  fall  love,Drama|Comedy|Romance,0,1,1,0,1
9857,11085, bounty leave portsmouth  destination  sail  tahiti  load bread fruit captain bligh  anything  get  fast  possible use  mean  keep  strict discipline  arrive  tahiti  like  paradise  crew something completely different  live hell aboard  ship  way back  england officer fletcher christian become  leader  mutiny,Adventure|Drama|History|Romance,0,0,1,0,1
10405,11206, flight back home sam hendrix return  doll  innocently acquire along  way  turn  doll  actually stuff  heroin  group  criminal lead  ruthless roat  follow hendrix back  place  retrieve  hendrix leave  business  crook make  move  find  blind wife susy alone  apartment soon  life threaten game begin  susy  thug,Crime|Drama|Thriller,0,0,1,1,0
7201,8357,amanda marlee maitlin  divorce woman  make  live  photographer  fall  year amanda begins  see  world  new  different way  begin  question  role  life  relationship  career  man  mean  layer  everyday experience fall away insertion  story  scientist  philosopher  religious leader impart information directly  screen interviewer  academic issue  amanda begins  understand  basis  quantum world beneath  epiphany  consider  great question raise  host  insert thinker amanda slowly comprehend  various inspiration  begins  see  world  new way,Documentary,0,0,0,0,0
6646,14611,mysterious wakanda lie  darkest heart  africa unknown  world  isolate land hide behind closed border fiercely protect  young king  black panther  brutal alien invaders attack  threat leave  black panther  option  go  sacred decree  people  ask  help  outsider,Animation|Action|Science Fiction,1,0,0,0,0
1152,271467,high schooler jason  find  dream girl  gorgeous anastacia  problem  know  exist  win  spot  school  hot dance crew jason might  shot  overcome  battle ax  mother survive anastacia  gangsta brother  pass  crew  initiation  fresh sexy  outrageously funny comedy,Comedy|Music,0,1,0,0,0
